ranking_diff,utr_diff
0,0.0
-1,0.00791946308724832
-2,0.01581081081081081
-3,0.02217687074829932
-4,0.028561643835616424
-5,0.03468965517241378
-6,0.04090277777777776
-7,0.04713286713286711
-8,0.05338028169014082
-9,0.05957446808510636
-10,0.06578571428571427
-11,0.07208633093525178
-12,0.07833333333333332
-13,0.08467153284671533
-14,0.09102941176470587
-15,0.0971111111111111
-16,0.10313432835820896
-17,0.10887218045112783
-18,0.11462121212121212
-19,0.12007633587786261
-20,0.12561538461538466
-21,0.13116279069767442
-22,0.13671875
-23,0.1423622047244095
-24,0.14793650793650795
-25,0.15359999999999996
-26,0.1592741935483871
-27,0.16471544715447153
-28,0.1700819672131147
-29,0.17545454545454542
-30,0.18091666666666664
-31,0.18638655462184875
-32,0.19177966101694913
-33,0.19726495726495724
-34,0.20284482758620684
-35,0.2085217391304347
-36,0.21412280701754377
-37,0.21982300884955747
-38,0.2253571428571428
-39,0.230990990990991
-40,0.23645454545454545
-41,0.24201834862385316
-42,0.24731481481481482
-43,0.25261682242990646
-44,0.25801886792452833
-45,0.2633333333333333
-46,0.26865384615384613
-47,0.2740776699029126
-48,0.27950980392156854
-49,0.2848514851485147
-50,0.2902999999999999
-51,0.29575757575757566
-52,0.3012244897959183
-53,0.30680412371134014
-54,0.31249999999999994
-55,0.31831578947368416
-56,0.3241489361702127
-57,0.32999999999999996
-58,0.33597826086956517
-59,0.34186813186813186
-60,0.34788888888888886
-61,0.35382022471910113
-62,0.3597727272727273
-63,0.3658620689655172
-64,0.371860465116279
-65,0.378
-66,0.384047619047619
-67,0.3901204819277108
-68,0.3959756097560975
-69,0.40197530864197534
-70,0.40800000000000003
-71,0.41405063291139244
-72,0.420128205128205
-73,0.42610389610389615
-74,0.43197368421052645
-75,0.43786666666666674
-76,0.4436486486486486
-77,0.4494520547945205
-78,0.4551388888888888
-79,0.4607042253521128
-80,0.4662857142857143
-81,0.4718840579710144
-82,0.4775
-83,0.4832835820895522
-84,0.4887878787878789
-85,0.4943076923076922
-86,0.49968749999999995
-87,0.5052380952380953
-88,0.5106451612903227
-89,0.5162295081967213
-90,0.5218333333333333
-91,0.5272881355932203
-92,0.5329310344827586
-93,0.5384210526315789
-94,0.5441071428571428
-95,0.5498181818181818
-96,0.5555555555555555
-97,0.5615094339622639
-98,0.5676923076923075
-99,0.5741176470588233
-100,0.5805999999999998
-101,0.587142857142857
-102,0.5939583333333333
-103,0.6006382978723404
-104,0.6073913043478258
-105,0.6144444444444442
-106,0.621590909090909
-107,0.6286046511627907
-108,0.6359523809523809
-109,0.6434146341463414
-110,0.65025
-111,0.6574358974358973
-112,0.6642105263157894
-113,0.671351351351351
-114,0.6780555555555553
-115,0.6851428571428569
-116,0.6920588235294117
-117,0.6993939393939392
-118,0.7071874999999999
-119,0.7154838709677419
-120,0.7236666666666665
-121,0.7320689655172413
-122,0.7410714285714285
-123,0.7503703703703702
-124,0.7596153846153845
-125,0.7679999999999998
-126,0.7766666666666667
-127,0.7860869565217393
-128,0.7954545454545454
-129,0.8057142857142858
-130,0.8165000000000002
-131,0.8278947368421053
-132,0.8405555555555556
-133,0.851764705882353
-134,0.86375
-135,0.874
-136,0.8842857142857142
-137,0.8923076923076922
-138,0.9008333333333333
-139,0.9109090909090907
-140,0.9209999999999997
-141,0.933333333333333
-142,0.9474999999999996
-143,0.9628571428571424
-144,0.9816666666666661
-145,1.0059999999999996
-146,1.0424999999999995
-147,1.0866666666666667
-148,1.17
-149,1.1799999999999997
